iter	RMSE
0	1879.820706
1	1843.512322
2	1806.220796
3	1773.703945
4	1742.082042
5	1707.015629
6	1673.629709
7	1643.590459
8	1615.36054
9	1586.755108
10	1556.563562
11	1530.478734
12	1503.968669
13	1477.716181
14	1453.161777
15	1430.871157
16	1408.741487
17	1385.446192
18	1363.489797
19	1342.816395
20	1322.686715
21	1302.059435
22	1282.708332
23	1264.031519
24	1245.267623
25	1227.965851
26	1210.655555
27	1193.685573
28	1177.466756
29	1161.006976
30	1145.841468
31	1130.362983
32	1116.651591
33	1103.074031
34	1089.521778
35	1076.103404
36	1063.589226
37	1050.61323
38	1038.787632
39	1028.883342
40	1017.353169
41	1005.515017
42	994.2132303
43	984.2780631
44	973.6257212
45	963.8799594
46	954.818368
47	945.4670655
48	936.6190014
49	928.8023409
50	920.2129682
51	913.2041492
52	904.1432038
53	896.6749802
54	889.4484321
55	882.224344
56	875.1636888
57	869.4363819
58	863.5842075
59	856.9724688
60	850.9492444
61	844.913109
62	839.0590514
63	833.6953485
64	827.8986604
65	822.6083828
66	817.3552195
67	813.0567762
68	808.523805
69	803.6692542
70	799.5419569
71	794.5604522
72	789.5643288
73	785.6262755
74	781.8334164
75	777.7120217
76	773.769951
77	769.0116712
78	765.4234678
79	761.6118411
80	757.7381545
81	754.2286214
82	750.4736452
83	747.0932983
84	743.4982506
85	739.6118165
86	735.4473977
87	731.9080979
88	727.9884116
89	724.0587458
90	720.643191
91	717.6301479
92	715.4755764
93	712.3016382
94	709.2735793
95	706.3482297
96	703.9024618
97	700.6927411
98	697.8994857
99	695.1709949
100	692.0775346
101	689.0702744
102	686.5502295
103	683.8398115
104	680.8245702
105	678.2876954
106	675.4772853
107	672.4027453
108	670.3238618
109	668.3725364
110	666.3579436
111	664.2928612
112	661.3423089
113	659.6269714
114	657.3944026
115	655.2216783
116	653.3912226
117	651.3781768
118	648.878869
119	646.8548316
120	644.5738669
121	642.565574
122	640.3930236
123	638.6014976
124	636.3351085
125	635.0227252
126	633.0103643
127	631.3765151
128	629.799224
129	627.9367379
130	626.5349953
131	624.114444
132	622.366204
133	620.6882954
134	618.9768429
135	616.8786232
136	615.008414
137	613.9490392
138	612.4750974
139	610.4581119
140	608.5440078
141	606.9349517
142	605.0279928
143	603.7395916
144	602.4036432
145	600.5455258
146	599.295191
147	597.6919065
148	596.2647735
149	594.8778882
150	593.6504204
151	592.1956725
152	590.8745882
153	589.6298561
154	588.0522346
155	586.561364
156	585.2746635
157	583.9519285
158	582.2868555
159	580.9016434
160	579.3129092
161	578.0108718
162	576.4201434
163	575.2793538
164	573.7476583
165	572.488145
166	571.0407777
167	570.0691978
168	568.6267243
169	567.5156051
170	565.6314279
171	564.5277695
172	563.4811899
173	562.6279951
174	561.4575242
175	560.2675541
176	559.1348573
177	558.2422333
178	556.9802604
179	556.2357793
180	555.2067639
181	553.9668189
182	553.1419704
183	551.795065
184	550.5341243
185	549.4541599
186	548.1331307
187	547.1504442
188	546.1742547
189	544.8814244
190	543.631824
191	542.6571991
192	541.56318
193	540.4892863
194	539.8989457
195	538.1419656
196	537.0035703
197	536.2329206
198	534.9133727
199	534.1013786
200	533.1754709
201	532.7195768
202	531.2257701
203	530.2921564
204	529.0126596
205	528.0479587
206	527.0216959
207	525.9702365
208	524.5430001
209	523.4369889
210	522.3573714
211	521.0886781
212	520.5273034
213	519.2472219
214	518.4303363
215	517.4422177
216	516.4860179
217	515.8841592
218	514.5323259
219	513.4559238
220	512.6139757
221	511.2744564
222	510.3782193
223	509.6345895
224	508.7827143
225	507.9682562
226	507.0688428
227	506.1967079
228	505.1378498
229	504.3397429
230	503.5291008
231	503.2298957
232	502.5969943
233	501.3789141
234	500.4404182
235	499.1931085
236	498.4405449
237	497.5911395
238	496.9301585
239	495.9536615
240	494.3199281
241	493.565506
242	492.5059854
243	491.5395833
244	490.500705
245	489.6206519
246	488.6513742
247	487.8008662
248	486.8967153
249	486.4293013
250	485.6794538
251	484.8275613
252	484.1132357
253	483.2534883
254	482.2286373
255	481.4679844
256	480.8032204
257	479.8351975
258	478.8888113
259	478.183461
260	477.3699041
261	476.5735891
262	475.799385
263	474.8127724
264	473.2231602
265	472.4908638
266	471.0188047
267	469.9531774
268	469.3726725
269	468.4681257
270	467.5510963
271	466.7403355
272	465.7737142
273	464.786433
274	464.1030676
275	463.2242726
276	462.3017531
277	461.7142467
278	460.8709786
279	460.1242771
280	459.590683
281	459.0835943
282	458.6361369
283	457.2410055
284	456.3996984
285	455.6105469
286	455.1203133
287	454.712293
288	453.5104976
289	452.9304954
290	452.1046409
291	451.2372964
292	450.1731172
293	449.1590714
294	448.199825
295	447.5757508
296	446.9201234
297	445.7504923
298	445.2513691
299	444.4650025
300	444.0870463
301	443.258687
302	442.6752022
303	441.8339207
304	440.916241
305	440.3642066
306	439.9347232
307	439.3251573
308	438.7639092
309	438.0801955
310	437.6398549
311	436.9102455
312	436.3128531
313	435.0790365
314	434.654402
315	433.9914121
316	433.4946418
317	433.0575306
318	432.1827185
319	431.170814
320	430.0534106
321	429.4802041
322	428.6664717
323	428.1533652
324	427.8221575
325	427.0465668
326	426.4218494
327	425.4827034
328	424.982763
329	424.2360093
330	423.7149464
331	423.3981876
332	422.9958183
333	421.980333
334	421.3088571
335	420.6587179
336	420.1308789
337	419.5623858
338	419.0011167
339	417.8013429
340	417.3143627
341	417.1363009
342	416.9238393
343	416.3024546
344	415.7084272
345	415.5148484
346	414.6367543
347	414.2575345
348	413.4276863
349	412.9416858
350	412.4872477
351	411.8700519
352	411.2190142
353	410.6158371
354	410.2043664
355	409.4118275
356	409.0268681
357	408.5772053
358	407.5823033
359	406.8931327
360	406.4934369
361	406.3092701
362	405.5748269
363	404.9261637
364	404.447216
365	403.5861635
366	403.0592457
367	402.8819916
368	402.2922366
369	401.9447142
370	401.2576268
371	400.8713804
372	400.3101141
373	399.9209877
374	399.3019891
375	398.865568
376	398.2302456
377	397.868273
378	397.3733469
379	396.8284196
380	396.0256529
381	395.0405631
382	394.2809353
383	393.5223493
384	393.1208454
385	392.4446837
386	391.9574937
387	391.544643
388	390.9625718
389	390.4669898
390	389.8188039
391	388.7447972
392	388.3713558
393	387.7214215
394	386.908452
395	386.3361298
396	385.9713765
397	385.5564332
398	385.1367693
399	384.8671716
400	384.4109439
401	384.0572987
402	383.7530162
403	382.8834777
404	382.421619
405	382.0343026
406	381.7511388
407	381.0620579
408	380.5448082
409	379.9203324
410	378.9172245
411	378.620734
412	377.638664
413	376.9023459
414	376.5259231
415	375.836973
416	375.6240497
417	375.2473569
418	374.9005085
419	374.2807713
420	373.9462743
421	372.950487
422	372.2228003
423	371.9689472
424	371.5321027
425	371.2004055
426	370.5829326
427	369.9945649
428	369.4524914
429	369.1871937
430	368.6546106
431	367.770936
432	367.1908082
433	366.8510831
434	366.3797219
435	366.0752332
436	365.2720964
437	364.6684121
438	364.0111504
439	363.4318462
440	362.8160644
441	362.5751606
442	361.7316253
443	361.0132639
444	360.3607113
445	359.8512028
446	359.7015886
447	359.3837973
448	358.9876583
449	358.1324829
450	357.7017542
451	357.2674214
452	356.9482821
453	356.509484
454	356.3457774
455	355.5224783
456	354.9326048
457	353.9469314
458	353.4922816
459	353.1763957
460	352.5990867
461	352.06125
462	351.7818338
463	351.1308787
464	350.7741551
465	350.4374692
466	350.0710465
467	349.5744285
468	349.217236
469	348.4797451
470	348.1653646
471	347.6302082
472	347.5060216
473	347.1282516
474	346.7787191
475	346.4118486
476	345.7794059
477	345.4317651
478	344.7815354
479	344.286085
480	343.9083784
481	343.5077429
482	342.9027649
483	342.3017419
484	341.810328
485	341.569411
486	341.2072828
487	340.9504673
488	340.2889121
489	339.947411
490	339.5921175
491	339.2838701
492	339.0934306
493	338.4185158
494	337.9614149
495	337.5101128
496	336.8071366
497	336.1627026
498	335.9463826
499	335.6921131
500	335.329993
501	334.7990202
502	334.2264533
503	334.0582989
504	333.7781147
505	333.4782711
506	332.8088222
507	332.4488984
508	332.2023562
509	331.6038852
510	331.1914606
511	330.9374212
512	330.5264258
513	330.2641685
514	329.9071391
515	329.5236494
516	329.2669913
517	328.7698934
518	328.3814828
519	328.1322437
520	327.6594857
521	327.3732601
522	326.8320181
523	326.1967373
524	325.9529509
525	325.6916773
526	325.5375412
527	325.2379526
528	324.9822807
529	324.7209613
530	324.4017042
531	324.0491934
532	323.5862233
533	323.0550534
534	322.5469481
535	322.2680149
536	321.8057072
537	321.3627019
538	320.8862511
539	320.7477133
540	320.3670619
541	319.9323789
542	319.3900631
543	319.0115234
544	318.5334766
545	318.088621
546	317.8285267
547	317.3606878
548	316.9048631
549	316.4913551
550	316.3380232
551	316.1730641
552	315.8709494
553	315.6140546
554	315.301371
555	314.9953236
556	314.5367865
557	314.432045
558	313.7938275
559	313.5861619
560	313.5058821
561	313.0610565
562	312.5456785
563	312.3021066
564	311.9110625
565	311.3627074
566	310.6780573
567	310.5728196
568	310.3512475
569	309.7879804
570	309.3665658
571	308.9814629
572	308.6711335
573	308.0265653
574	307.7575587
575	307.1380818
576	306.8916456
577	306.2845119
578	305.9951107
579	305.5387792
580	305.3843868
581	304.9782455
582	304.4048177
583	304.0018391
584	303.7001527
585	303.486587
586	303.0023446
587	302.5614517
588	301.8637943
589	301.6768009
590	301.4279666
591	300.9255346
592	300.5527836
593	300.082574
594	299.6767875
595	299.1462203
596	298.5786177
597	297.9671437
598	297.5449984
599	297.3303078
600	296.9000558
601	296.6701539
602	296.2443975
603	295.95318
604	295.6956364
605	295.5427737
606	295.1479872
607	294.5974508
608	294.1188147
609	293.4706338
610	292.8259568
611	292.5108068
612	292.0786149
613	291.7664935
614	291.3203134
615	290.8328128
616	290.4855722
617	289.982464
618	289.6532114
619	289.3504448
620	288.9588901
621	288.6786357
622	288.4156594
623	288.0428474
624	287.536885
625	287.304095
626	286.8715076
627	286.3962178
628	286.302293
629	285.8059
630	285.448228
631	285.0425518
632	284.8797665
633	284.5129259
634	284.2631921
635	283.8376103
636	283.4783495
637	283.0726842
638	282.8821947
639	282.5339278
640	282.1940155
641	281.8947703
642	281.5538214
643	281.1770841
644	280.8588234
645	280.3564459
646	280.2503842
647	279.9361117
648	279.5751321
649	279.2158321
650	278.9674052
651	278.6016634
652	278.3680321
653	278.1353932
654	277.8855377
655	277.6380519
656	277.4322207
657	277.1990805
658	277.0592895
659	276.7143804
660	276.3766038
661	276.0040275
662	275.7470448
663	275.428
664	275.3125973
665	274.8899008
666	274.5629316
667	274.2772211
668	274.0574514
669	273.7790748
670	273.4068259
671	273.0103851
672	272.5040462
673	272.2695303
674	272.0133616
675	271.8209651
676	271.6214937
677	271.4473205
678	271.261977
679	271.0520349
680	270.7338302
681	270.4190593
682	270.0377636
683	269.8564556
684	269.7248565
685	269.4336106
686	269.0015669
687	268.6851113
688	268.4603421
689	268.1222216
690	267.9017587
691	267.528661
692	267.3186404
693	267.0387198
694	266.878818
695	266.8337083
696	266.3973978
697	266.1512732
698	265.8445084
699	265.4500972
700	265.074637
701	264.7406589
702	264.5805355
703	264.1605683
704	263.7513713
705	263.5354043
706	263.2475989
707	262.8083783
708	262.5401094
709	262.3257134
710	262.0149739
711	261.8556932
712	261.3658968
713	261.2246627
714	260.8773273
715	260.8135398
716	260.5601096
717	260.3673663
718	260.0351438
719	259.9046069
720	259.6428313
721	259.3384526
722	259.0971004
723	258.669118
724	258.163994
725	257.8357327
726	257.7705087
727	257.5078453
728	257.2188333
729	256.8602078
730	256.5668426
731	256.3970808
732	256.3102973
733	256.189828
734	255.9787507
735	255.8932828
736	255.6035937
737	255.516004
738	255.119373
739	254.9081293
740	254.5440693
741	254.3148146
742	254.1050367
743	253.9324345
744	253.5989808
745	253.3311162
746	252.8834353
747	252.8292942
748	252.6786617
749	252.4663475
750	252.206823
751	251.6184665
752	251.402089
753	251.0923779
754	250.7923183
755	250.5792408
756	250.1972851
757	249.9885395
758	249.6379711
759	249.3516573
760	249.004911
761	248.672517
762	248.479159
763	248.2948786
764	248.0917518
765	247.7618992
766	247.336091
767	246.8851797
768	246.4659045
769	246.217232
770	245.9874539
771	245.8043349
772	245.4030468
773	245.0127774
774	244.8406235
775	244.814265
776	244.58726
777	244.5009163
778	244.345163
779	244.0687847
780	243.7355968
781	243.5767108
782	243.4045064
783	243.1179135
784	242.92221
785	242.9037122
786	242.550177
787	242.2224856
788	241.973062
789	241.7191351
790	241.4115179
791	241.0097499
792	240.7442475
793	240.5927106
794	240.2507204
795	239.9731068
796	239.535281
797	239.2062869
798	238.929962
799	238.6327848
800	238.2076496
801	237.8813242
802	237.6670755
803	237.5121423
804	237.3142012
805	237.0640982
806	236.843758
807	236.5609264
808	236.3886404
809	235.9898387
810	235.6696634
811	235.3823776
812	235.2688984
813	234.9890636
814	234.5898826
815	234.2891729
816	233.8404906
817	233.6513008
818	233.4105535
819	233.083412
820	232.8362555
821	232.5691199
822	232.4617112
823	232.1338149
824	231.8802975
825	231.5686731
826	231.3221285
827	231.1535689
828	230.7375135
829	230.2783144
830	230.023387
831	229.7163894
832	229.6125671
833	229.3106743
834	228.7616864
835	228.5352274
836	228.4916084
837	228.3150725
838	228.0751276
839	227.694681
840	227.278664
841	227.099021
842	226.924426
843	226.6574269
844	226.4622535
845	226.1356788
846	225.8672562
847	225.5944842
848	225.1744679
849	224.9996433
850	224.8631899
851	224.5379846
852	224.2374126
853	223.9295439
854	223.6985974
855	223.500021
856	223.2073917
857	222.8551208
858	222.542193
859	222.2743403
860	222.1722247
861	221.90826
862	221.8366699
863	221.6718677
864	221.4732675
865	220.9105887
866	220.7363663
867	220.5533794
868	220.3280331
869	219.9422182
870	219.733962
871	219.3255792
872	219.100567
873	219.0141065
874	218.895442
875	218.5012366
876	218.3135899
877	218.048869
878	217.8875716
879	217.7035453
880	217.5743359
881	217.251389
882	216.9301437
883	216.5452642
884	216.1706185
885	215.9154348
886	215.6718022
887	215.5187415
888	215.1305737
889	214.864512
890	214.7799147
891	214.633422
892	214.4027777
893	214.2100999
894	213.9426064
895	213.6901913
896	213.4846843
897	213.2467829
898	212.9787715
899	212.712122
900	212.3440979
901	212.0244041
902	211.7928338
903	211.7447821
904	211.5892782
905	211.4539993
906	211.3242175
907	211.0493313
908	210.8768439
909	210.7325313
910	210.5323955
911	210.3496684
912	210.2078634
913	209.7911877
914	209.6398405
915	209.3679869
916	209.0982612
917	208.9003899
918	208.6528432
919	208.3279995
920	208.2055245
921	207.9635191
922	207.5701966
923	207.3808224
924	207.1582829
925	207.0900922
926	206.6365125
927	206.3923763
928	206.1390295
929	205.9110103
930	205.8529815
931	205.7189053
932	205.5931665
933	205.5545768
934	205.382921
935	205.0303003
936	204.7457767
937	204.6856918
938	204.3884645
939	204.0928309
940	203.8451949
941	203.6556373
942	203.4674753
943	203.3378493
944	203.226775
945	203.12861
946	203.1089916
947	202.8056469
948	202.4991619
949	202.2210851
950	201.8560181
951	201.7856828
952	201.6204161
953	201.3480012
954	201.0004369
955	200.7883703
956	200.5284213
957	200.2759828
958	200.1788397
959	200.0002555
960	199.8124918
961	199.5944249
962	199.3927003
963	199.3648485
964	199.1305946
965	198.8823655
966	198.6990231
967	198.4748586
968	198.1885462
969	198.0420456
970	197.9186172
971	197.5438544
972	197.4174024
973	197.1689068
974	196.9775803
975	196.7356975
976	196.5696822
977	196.3877893
978	196.182575
979	196.0361412
980	195.8107021
981	195.6000726
982	195.3298205
983	195.173345
984	194.9056496
985	194.7099411
986	194.4986965
987	194.3305459
988	194.1992302
989	194.0503882
990	193.8133462
991	193.5865547
992	193.3209382
993	193.2409875
994	192.9254677
995	192.8177923
996	192.6932059
997	192.3990295
998	192.176172
999	192.0541217
