iter	Passed	Remaining
0	4	4802
1	8	4074
2	10	3502
3	15	3772
4	18	3667
5	27	4523
6	30	4342
7	32	4025
8	34	3778
9	35	3549
10	37	3343
11	39	3213
12	40	3066
13	41	2942
14	43	2840
15	44	2744
16	46	2662
17	47	2582
18	48	2518
19	50	2453
20	51	2394
21	52	2348
22	53	2272
23	55	2242
24	59	2320
25	60	2278
26	62	2238
27	63	2202
28	64	2168
29	66	2136
30	67	2106
31	68	2077
32	72	2135
33	79	2264
34	81	2246
35	82	2216
36	84	2200
37	86	2185
38	88	2173
39	90	2162
40	91	2150
41	93	2138
42	95	2128
43	97	2118
44	99	2109
45	101	2102
46	103	2095
47	105	2088
48	107	2081
49	109	2074
50	110	2064
51	112	2057
52	114	2051
53	116	2044
54	118	2039
55	120	2031
56	122	2025
57	124	2019
58	126	2012
59	128	2006
60	130	2001
61	132	2004
62	134	1998
63	136	1991
64	140	2027
65	144	2040
66	146	2042
67	152	2087
68	157	2124
69	180	2404
70	215	2824
71	238	3070
72	251	3188
73	263	3300
74	265	3275
75	267	3251
76	269	3226
77	271	3204
78	272	3180
79	274	3158
80	276	3136
81	278	3116
82	280	3096
83	282	3078
84	284	3058
85	286	3039
86	287	3020
87	289	3002
88	291	2983
89	293	2965
90	295	2949
91	297	2931
92	298	2915
93	300	2898
94	302	2882
95	304	2866
96	306	2851
97	308	2835
98	317	2889
99	319	2873
100	321	2858
101	322	2841
102	324	2827
103	326	2812
104	328	2798
105	330	2783
106	331	2770
107	333	2756
108	335	2742
109	337	2729
110	339	2716
111	359	2846
112	377	2966
113	399	3108
114	430	3316
115	451	3439
116	476	3594
117	498	3724
118	514	3806
119	525	3857
120	528	3837
121	529	3813
122	531	3787
123	532	3762
124	533	3737
125	535	3712
126	536	3687
127	537	3662
128	538	3638
129	540	3614
130	541	3591
131	542	3568
132	543	3546
133	548	3547
134	553	3549
135	555	3527
136	556	3506
137	557	3484
138	559	3463
139	560	3442
140	561	3422
141	563	3401
142	564	3382
143	565	3362
144	566	3342
145	571	3344
146	576	3347
147	578	3328
148	579	3309
149	580	3290
150	581	3272
151	583	3253
152	588	3257
153	589	3240
154	591	3223
155	592	3205
156	593	3188
157	595	3171
158	596	3154
159	597	3137
160	599	3125
161	601	3109
162	602	3092
163	603	3076
164	604	3060
165	606	3045
166	607	3029
167	608	3014
168	609	2999
169	611	2984
170	612	2969
171	613	2955
172	615	2940
173	616	2926
174	617	2912
175	619	2898
176	620	2884
177	621	2870
178	634	2909
179	635	2895
180	636	2881
181	638	2868
182	639	2854
183	640	2841
184	641	2828
185	643	2814
186	644	2801
187	653	2822
188	654	2810
189	660	2817
190	662	2804
191	663	2791
192	664	2779
193	665	2766
194	666	2752
195	668	2740
196	669	2728
197	672	2722
198	673	2711
199	674	2699
200	676	2687
201	677	2676
202	678	2664
203	684	2670
204	685	2659
205	687	2648
206	688	2636
207	689	2625
208	690	2614
209	692	2603
210	693	2593
211	694	2582
212	696	2572
213	697	2561
214	698	2551
215	700	2540
216	701	2530
217	702	2520
218	703	2510
219	705	2500
220	706	2490
221	709	2487
222	714	2489
223	715	2479
224	716	2469
225	718	2459
226	719	2450
227	720	2440
228	722	2431
229	723	2421
230	724	2412
231	725	2401
232	726	2392
233	727	2382
234	729	2373
235	730	2364
236	731	2356
237	733	2347
238	734	2338
239	735	2329
240	736	2320
241	738	2312
242	739	2303
243	740	2295
244	742	2286
245	743	2278
246	744	2270
247	745	2261
248	747	2253
249	748	2245
250	749	2237
251	751	2229
252	752	2221
253	753	2213
254	754	2205
255	756	2197
256	757	2190
257	758	2182
258	760	2174
259	761	2166
260	762	2159
261	763	2151
262	765	2143
263	766	2136
264	767	2129
265	768	2121
266	770	2114
267	771	2106
268	772	2099
269	773	2092
270	775	2085
271	776	2078
272	777	2071
273	779	2064
274	780	2058
275	782	2053
276	784	2047
277	786	2042
278	788	2036
279	789	2031
280	791	2025
281	793	2020
282	795	2015
283	797	2009
284	799	2004
285	801	1999
286	802	1994
287	804	1989
288	806	1984
289	808	1979
290	810	1974
291	812	1969
292	813	1963
293	815	1957
294	816	1951
295	817	1944
296	819	1938
297	820	1932
298	821	1926
299	823	1920
300	824	1914
301	825	1908
302	827	1902
303	828	1896
304	829	1891
305	831	1885
306	832	1879
307	833	1873
308	835	1867
309	836	1861
310	837	1856
311	839	1850
312	840	1845
313	841	1839
314	843	1833
315	844	1828
316	845	1822
317	847	1817
318	848	1811
319	849	1806
320	851	1801
321	854	1798
322	855	1793
323	856	1787
324	858	1782
325	859	1777
326	865	1781
327	870	1783
328	873	1781
329	874	1776
330	876	1770
331	877	1765
332	878	1760
333	880	1754
334	881	1749
335	882	1744
336	883	1738
337	885	1733
338	886	1728
339	887	1723
340	889	1718
341	890	1713
342	891	1708
343	892	1702
344	894	1697
345	895	1692
346	896	1687
347	897	1682
348	899	1677
349	900	1672
350	901	1667
351	903	1662
352	904	1657
353	905	1652
354	906	1647
355	908	1642
356	909	1637
357	910	1633
358	911	1628
359	913	1623
360	914	1618
361	919	1619
362	920	1615
363	922	1611
364	926	1611
365	930	1611
366	934	1611
367	938	1611
368	946	1617
369	954	1626
370	956	1621
371	957	1616
372	961	1616
373	966	1618
374	967	1613
375	969	1608
376	970	1603
377	971	1599
378	973	1594
379	974	1590
380	975	1585
381	977	1580
382	978	1576
383	979	1571
384	981	1567
385	982	1562
386	983	1557
387	984	1553
388	986	1549
389	987	1544
390	988	1540
391	990	1535
392	991	1531
393	992	1527
394	994	1522
395	995	1518
396	996	1513
397	997	1509
398	999	1505
399	1000	1500
400	1001	1496
401	1002	1491
402	1004	1487
403	1005	1483
404	1006	1479
405	1011	1480
406	1013	1476
407	1014	1471
408	1015	1467
409	1016	1463
410	1018	1458
411	1019	1454
412	1020	1450
413	1022	1446
414	1023	1442
415	1024	1438
416	1025	1434
417	1027	1430
418	1028	1426
419	1029	1421
420	1030	1417
421	1032	1413
422	1034	1410
423	1039	1412
424	1041	1408
425	1042	1405
426	1044	1401
427	1045	1397
428	1046	1393
429	1048	1389
430	1049	1385
